word,reading,meaning,,source,,related
寒煖饑飽,かんだんきほう,普段の生活で感じる苦楽のこと。 寒さや暖かさ、空腹や満腹ということから。 「饑飽」は空腹と満腹のこと。 「寒暖饑飽」とも書く。,寒暖饑飽（かんだんきほう）,白居易「与微之書」,１,
琴棋書画,きんきしょが（きんぎしょが）,教養のある、文人のたしなみのこと。 琴を弾いて囲碁を打ち、書を書いて絵を描くということをいう。 中国では四芸と呼ばれ、文人のたしなみとされ、画題としてもよく用いられる。,琴棋書画（きんぎしょが）,何延之「蘭亭記」,準２,琴棋詩酒（きんきししゅ）
金玉満堂,きんぎょくまんどう,豊かな才能と学識があることのたとえ。 「金玉」は黄金と宝石。 「満堂」は部屋の中が満たされていること。 「金玉堂に満つ」とも読む。,,『老子』「九章」,５,
勤倹尚武,きんけんしょうぶ,しっかりと働いて、質素に暮らしながら武芸に励むこと。 「勤倹」はしっかりと働いて、無駄遣いをしないようにすること。 「尚武」は武士の生活態度の基本をいう言葉で、武芸を尊ぶという意味。,,,準２,
謹言慎行,きんげんしんこう,言葉と行動を慎重に行うこと。 「謹」と「慎」はどちらも慎むということ。 「言を謹み行を慎む」とも読む。,,『礼記』「緇衣」,準２,謹厳温厚（きんげんおんこう） 謹厳実直（きんげんじっちょく） 謹厳重厚（きんげんじゅうこう）
勤倹力行,きんけんりっこう,しっかりと働いて、質素に暮らしながら力の限り努力すること。 「勤倹」はよく働いて、無駄遣いをしないようにすること。 「力行」は力の限り努力すること。,,,３,精励恪勤（せいれいかっきん） 奮励努力（ふんれいどりょく）
孤城落日,こじょうらくじつ,繁栄していたものの勢いが衰えて、助けてくれるものもなく寂しい様子。 「孤城」は援軍が来ない城のこと。 「落日」は西に沈む日のこと。 孤立していて助けもなく、攻め落とされる寸前の城が夕日に照らされていてさびしい様子をいう。,,王維「送韋評事」,３,孤城落月（こじょうらくげつ）
五濁悪世,ごじょくあくせ,末世のこと。 仏教の言葉で、五つの汚れに満ち溢れた世界ということから。 「五濁」は劫濁、見濁、煩悩濁、衆生濁、命濁という、この世に表れるとされる五つの汚れのこと。,,『法華経』「方便品」,準１,
古人糟魄,こじんのそうはく,賢者や聖人の本質や真髄は、言葉や文字で伝えることはできないということ。 「古人」は昔のすぐれた人、賢者や聖人のこと。 「糟魄」は酒かすのこと。 言葉や文字で伝えることのできる知恵は、酒かすのように残りかすでしかないという意味から。 老荘思想の言葉で、書物で学問をすることを否定する言葉。 「古人糟粕」とも書く。,古人糟粕（こじんのそうはく）,『荘子』「天道」,１,聖人糟粕（せいじんのそうはく）
牛頭馬頭,ごずめず,地獄の罪人を取り締まる鬼のこと。 または、その鬼のように情けも容赦もない人のたとえ。 仏教の言葉で、人間の体に牛や馬の頭をしているということから。,,『大智度論』,,
青息吐息,あおいきといき,この上なく苦しい時に発するため息。 または、ため息がでるほど苦しい状況のこと。 「青息」は非常に苦しいときに発する息。 「吐息」はため息のこと。,,,４,
鼓舌揺脣,こぜつようしん,好き放題に思ったことを喋ること。 「鼓舌」は舌を鳴らして喋ること。 「揺脣」は唇を動かすこと。 どちらも勢いよく喋ることのたとえ。 「揺脣」は「揺唇」とも書く。 「揺脣鼓舌（揺唇鼓舌）」ともいう。,鼓舌揺唇（こぜつようしん） 揺脣鼓舌（ようしんこぜつ） 揺唇鼓舌（ようしんこぜつ）,『荘子』「盗跖」,１,
鐘鳴鼎食,しょうめいていしょく,財産も地位もある人の贅沢な生活のこと。 「鐘鳴」は鐘を鳴らして食事の時間を知らせること。 「鼎食」は祭器としても使われる、三本足の器の鼎に料理を盛って、たくさんの鼎を並べて食事すること。,,王勃「滕王閣序」,準１,
生滅滅已,しょうめつめつい,仏教の言葉で、生と死を超越して、煩悩が無くなった安らぎの境地である涅槃に入ること。 「生滅」は生まれることと死ぬこと。 「滅已」はなくなるということ。,,『大般涅槃経』,１,寂滅為楽（じゃくめついらく）
笑面夜叉,しょうめんやしゃ,見た目は笑顔だが、心のそこで悪いことを考えていること。 「夜叉」は人に害を与える悪い鬼神のこと。,,『説郛』「四引「老学庵続筆記」」,準１,笑面老虎（しょうめんろうこ）
将門有将,しょうもんゆうしょう,立派な家系の家からは、立派な人材が出るということ。 「将門」は将軍を代々輩出している家系のこと。 「有将」は将軍が現れること。 「将門将有り」とも読む。,,『史記』「孟嘗君伝」,５,相門有相（しょうもんゆうしょう）
逍遥自在,しょうようじざい,世間から離れて、自由に楽しむこと。 「逍遥」は気分に任せて歩くということから、思うままに楽しむこと。 「自在」は何ものにも縛られないこと。,,,１,採薪汲水（さいしんきゅうすい） 悠悠自適（ゆうゆうじてき）
戦戦慄慄,せんせんりつりつ,恐怖で震えてびくびくする様子。 「戦慄」は恐怖で震えるという意味で、重ねて意味を強調した言葉。,戦々慄々（せんせんりつりつ）,『淮南子』「人間訓」,２,戦戦兢兢（せんせんきょうきょう）
翦草除根,せんそうじょこん,災いの原因になるものを全て取り除くこと。 「翦草」は草を刈ること。 「除根」は根を取り除くこと。 草を全て刈り取り、草が生えないように根を全て取り除くという意味から。 「草を翦り根を除く」とも読む。,,『春秋左氏伝』「隠公六年」,１,抜本塞源（ばっぽんそくげん） 釜底抽薪（ふていちゅうしん）
吮疽之仁,せんそのじん（せんしょのじん）,部下の苦労をねぎらって大切にすること。 「吮」は口で直接吸い出すこと。 「疽」は悪性の腫物。 中国の戦国時代の楚の将軍の呉起は、悪性の腫物で苦しんでいる部下の血膿を吸い取ってやったという故事から。,吮疽之仁（せんしょのじん）,『史記』「呉起伝」,１,
悪衣悪食,あくいあくしょく（あくいあくじき）,粗末な着物と食事のことから、質素で貧しい生活という意味。,悪衣悪食（あくいあくじき）,『論語』「里仁」,５,節衣縮食（せついしゅくしょく） 粗衣粗食（そいそしょく） 粗衣糲食（そいれいしょく）
千村万落,せんそんばんらく,たくさんの村落。 「千」と「万」は数が非常に多いことのたとえ。,,杜甫「兵車行」,４,
万夫不当,ばんぷふとう,たくさんの男が向かっていっても、勝負にすらならないほど強い人のこと。 「万夫」は大勢の男。 「不当」は相手にもならないこと。 「万夫当たらず」とも読む。,,,４,
繁文縟礼,はんぶんじょくれい,形式や規則、礼儀、手続きが複雑で面倒くさいこと。 「繁文」は細かく複雑な飾りや、分かりづらい規則のこと。 「縟礼」は複雑で分かりづらい礼儀や作法のこと。 「繁縟」と略して使うこともある言葉。,,,１,
万邦無比,ばんぽうむひ,全ての国の中でも、比べることができるものがいないほどにすぐれていること。 「万邦」は全ての国。 「無比」は比べることができるものが存在しないということ。,,,,
反哺之羞,はんぽのしゅう,親の恩に子が報いること、親孝行することのたとえ。 「反哺」は食べ物を返すこと。 中国の伝説で、烏は六十日で成鳥になり、その後は親鳥に六十日の間、親に餌を与えるということから。,,,準１,烏鳥私情（うちょうのしじょう） 三枝之礼（さんしのれい） 慈烏反哺（じうはんぽ） 反哺之孝（はんぽのこう） 反哺之心（はんぽのこころ）
反面教師,はんめんきょうし,真似をしてはいけないが、悪い見本として反省の材料や、教訓になる事や人のこと。 「反面」は正しい面の反対の面ということから、悪い面のこと。 中国の毛沢東が言った、「反面教員」という言葉が語源。,,,５,他山之石（たざんのいし）
肝胆胡越,かんたんこえつ,そっくりなものでも、見方によっては違うものに見えるということ。 または、非常に近い関係の者の交際が途絶えがちになることのたとえ。 「肝胆」は内臓の肝臓と胆嚢。 「胡」と「越」は中国の国の名前で、胡は北方にあり、越は西方にあった。 異なる物という観点から見れば、体の中で隣り合っている肝臓と胆嚢も、楚と越の国のように離れているように思えるという意味から。,,,,肝胆楚越（かんたんそえつ）
肝胆相照,かんたんそうしょう,お互いに心の奥深くまで理解しあっていて、打ち解け合っている関係のたとえ。 「肝胆」は内臓の肝臓と胆嚢のことで、心の奥底のたとえ。 肝臓と胆嚢のように近くて深い関係ということから。 「肝胆相照らす」とも読む。,,韓愈「柳子厚墓誌銘」,３,肝胆朋友（かんたんほうゆう） 肺肝相照（はいかんそうしょう）
肝胆楚越,かんたんそえつ,そっくりなものでも、見方によっては違うものに見えるということ。 または、非常に近い関係の者の交際が途絶えがちになることのたとえ。 「肝胆」は内臓の肝臓と胆嚢。 「楚」と「越」は中国の国の名前で、楚は長江の中流にあり、越は長江の下流にあった。 異なる物という観点から見れば、体の中で隣り合っている肝臓と胆嚢も、楚と越の国のように離れているように思えるという意味から。,,『荘子』「徳充符」,,肝胆胡越（かんたんこえつ）
邯鄲之歩,かんたんのほ（かんたんのあゆみ）,他人の真似をしたがうまくいかず、自分自身の本来のものを忘れ、どちらもうまくいかなくなること。 「邯鄲」は中国の地名。 中国の戦国時代、燕の田舎の国の青年が趙の都会の邯鄲に行って、都会の人たちの歩き方を真似しようとしたが、それに失敗して今までの自分の歩き方を忘れて這って帰ったという故事から。,邯鄲之歩（かんたんのあゆみ）,『荘子』「秋水」,１,邯鄲学歩（かんたんがくほ）
悪因悪果,あくいんあっか,元は仏教語で、悪いことをすると必ず悪い報いがあるという意味。 「悪因」は悪い報いの原因、「悪果」は悪い結果や報い。 悪いことをせずに、正しいことをするべきであるという戒めの言葉。,,,５,悪因苦果（あくいんくか） 因果応報（いんがおうほう） 天罰覿面（てんばつてきめん）
簡単明瞭,かんたんめいりょう,単純ではっきりとしていること。 「明瞭」ははっきりとしていて分かりやすいこと。,,,２,一目瞭然（いちもくりょうぜん） 単純明快（たんじゅんめいかい）
金口玉言,きんこうぎょくげん,天子などの高い身分の人の貴重な言葉。 他人の言葉への敬称。 または、約束を破ってはならないという戒め。 「金口」と「玉言」はどちらも天子などの高貴な人の言葉という意味で、貴重な言葉のたとえ。,,夏侯湛「抵疑」,,
金口木舌,きんこうぼくぜつ（きんこうもくぜつ）,すぐれた言論で人々を指導する人のたとえ。 金属の口に、舌の形をした木製の振り子でできた大きな鐘のことで、古代中国で新しい政令を出すときにこの鐘を鳴らして人々に知らせていたということから。,金口木舌（きんこうもくぜつ）,『揚子法言』「学行」,４,
金谷酒数,きんこくのしゅすう,詩を作ることが出来なかったことへの罰として飲ませる酒のこと。 中国の西晋の石崇が、別荘の金谷園で開いた宴会で、詩を作れなかった人に罰として酒を飲ませたという故事から。,,李白「春夜宴桃李園序」,４,
緊褌一番,きんこんいちばん,気持ちを引き締めて、油断せずに物事に向かうこと。 「緊褌」はふんどしを引き締めること。 「一番」は重要な場面のこと。 難しいことや大勝負の前の心構えをいう言葉。,,,１,
禽困覆車,きんこんふくしゃ,力の弱い者でも、窮地に立たされると思ってもいない力を出すということ。 「禽困」は追い詰められた小鳥。 「覆」はひっくり返ること。 追い詰められた小鳥は、車をひっくり返すほどの力を発揮するという意味から。 「禽困車を覆す」とも読む。,,『戦国策』「韓策」,準１,窮鼠噛猫（きゅうそごうびょう）
胡説乱道,こせつらんどう,辻褄が合わないでたらめな議論や言葉。 「胡説」はでたらめな議論。 「乱道」はいい加減なことを言うこと。または、そのようなことを言って道理を乱すこと。,,,準１,胡説八道（こせつはちどう）
胡孫入袋,こそんにゅうたい,民間にいた人が、公職についたために自由が無くなること。 または、物事を自由に行えないこと。 「胡孫」は動物の猿の別称。 猿が袋の中に入れられるという意味から。 「胡孫袋に入る」とも読む。,,『帰田録』,準１,
五体投地,ごたいとうち,礼拝の形式の一つのことで、頭と両肘、両膝を地面につけて行う礼拝。 仏教で最高の礼拝とされている。,,,５,
壺中之天,こちゅうのてん,酒を飲んで世間のことを忘れること。 または、現世から離れた理想郷のこと。 「天」は世界のこと。 中国の後漢の時代、壺公という薬売りが、店先に置いていた壺の中に入るところを見かけた役人の費長房は、その壺の中に入れてもらうと、多くのご馳走が並ぶ理想郷だったという故事から。,,『後漢書』「方術伝」,,
悪逆非道,あくぎゃくひどう,人の道をはずれた計り知れないほどの悪行のこと。 「悪逆」は律令法の八逆の中の一つで親族殺しのこと。 「非道」は人としての道理にはずれていること。,,,,悪逆無道（あくぎゃくむどう） 極悪非道（ごくあくひどう） 残酷非道（ざんこくひどう） 大逆無道（たいぎゃくむどう） 暴虐非道（ぼうぎゃくひどう）
国君含垢,こっくんがんこう,君主は将来のことを考えて、一時的な恥は耐えるべきであるという教え。 または、君主には臣下の失敗を許す度量が必要であるという教え。 「垢」は垢、汚れという意味から、恥や失敗のたとえ。 「国君垢を含む」とも読む。,,『春秋左氏伝』「宣公一五年」,準１,
従容就義,しょうようしゅうぎ,落ち着いた気持ちで、正義を貫くために恐れることなく命を投げ出すこと。 「従容」は気持ちが落ち着いていること。 「就義」は命を捨てても正義を貫くこと。 「従容として義に就く」とも読む。 「縦容就義」とも書く。,縦容就義（しょうようしゅうぎ）,,準２,舎生取義（しゃせいしゅぎ）
従容不迫,しょうようふはく,のんびりと落ち着いている様子。 「従容」は気持ちが落ち着いていること。 「不迫」は何事にも動じないこと。 「従容として迫らず」とも読む。,,,準２,悠揚不迫（ゆうようふはく）
逍遥法外,しょうようほうがい,法律を犯した人が、罰則を受けることなく、自由に生活していること。 「逍遥」は何ものにも縛られず、思ったままに歩きまわること。 法律の外側を自由に歩きまわるということから。 「法外に逍遥す」とも読む。,,,１,
少欲知足,しょうよくちそく,すこしのもので満足すること。 「少欲」は持っていないものをたくさん求めないこと。 「知足」は足るを知るという意味で、持っているもので満足すること。 「欲少なくして足るを知る」とも読む。,,『大般涅槃経』,,無欲恬淡（むよくてんたん）
乗輿車駕,じょうよしゃが,天子が乗る車。 または、天子のこと。 「乗輿」と「車駕」はどちらも天子が外出するときに使う車のこと。,,『独断』「上」,準１,
千朶万朶,せんだばんだ,たくさんの花のこと。 または、たくさんの花が咲き乱れていること。 「千」と「万」は数が多いことのたとえ。 「朶」は花が咲いている枝。,,杜甫,１,
栴檀双葉,せんだんのふたば,立派ですぐれた才能を持っている人は、子どもの頃からすぐれた才能を持っているということ。 「栴檀」は香木の白檀のこと。 「双葉」は芽が出たばかりの小さな二枚の葉のこと。 白檀は芽が出た直後でもいい香りを放つということから。 「栴檀は双葉より芳し」を略した言葉。 「栴檀二葉」とも書く。,栴檀二葉（せんだんのふたば）,『観仏三昧海経』,準１,
先知先覚,せんちせんがく,普通の人よりも早く道理を理解すること。 または、すぐれた学識と人格をもっている人のこと。,,『孟子』「万章・上」,５,
扇枕温衾,せんちんおんきん,両親を大切にすること。 夏は親の枕元で、扇で扇いで涼しくして、冬は自分の体温で親の布団を温めて、親が過ごしやすいようにするということから。 「枕を扇ぎ衾を温む」とも読む。,,『晋書』「王延伝」,１,扇枕温被（せんちんおんぴ）
悪逆無道,あくぎゃくむどう（あくぎゃくぶとう / あくぎゃくぶどう）,人の道をはずれた計り知れないほどの悪行のこと。 「悪逆」は律令法の八逆の中の一つで親族殺しのこと。 「無道」は人としての道理にはずれていること。,悪逆無道（あくぎゃくぶとう） 悪逆無道（あくぎゃくぶどう）,,５,悪逆非道（あくぎゃくひどう） 極悪非道（ごくあくひどう） 残酷非道（ざんこくひどう） 大逆無道（たいぎゃくむどう） 暴虐非道（ぼうぎゃくひどう）
前程万里,ぜんていばんり,これから先の目的地までの道のりが遠く長いこと。 または、将来に大きな可能性があること。 「前程」はこれから先の道のり。 「万里」は距離が非常に遠いことのたとえ。,,『南楚新聞』,４,前程遠大（ぜんていえんだい） 前途万里（ぜんとばんり） 前途有望（ぜんとゆうぼう） 前途洋洋（ぜんとようよう） 鵬程万里（ほうていばんり）
浮雲之志,ふうんのこころざし,悪行で手に入れた地位や財産は、儚いものであるという考え。 または、そのようなものは自身とは関係ないものだという考え。 「浮雲」は空に浮いている雲のことで、雲はすぐに散ってなくなるということから、儚いもののたとえ。または、雲は手の届かないところにあるということから、自身に関係がないもののたとえ。,,『論語』「述而」,準１,富貴浮雲（ふうきふうん）
巫山之夢,ふざんのゆめ,男女の交わり、情交のたとえ。 「巫山」は中国の四川省と湖北省の間にある、女神が住んでいたとされる山のこと。 中国の戦国時代の楚の懐王が昼寝をした際、夢の中で巫山の女神と情交を結んだ。別れ際に女神が「朝には雲となって、夕方には雨となってここに参ります」と言ったという故事から。,,『文選』宋玉「高唐腑」,１,雲雨巫山（うんうふざん） 楚夢雨雲（そむううん） 朝雲暮雨（ちょううんぼう） 巫山之雨（ふざんのあめ）
負薪汲水,ふしんきゅうすい,自然の中で質素な生活をすること。 薪を採って谷川の水を汲むということから。,,,準１,採薪汲水（さいしんきゅうすい）
弊帚千金,へいそうせんきん,自分の地位や能力などを理解せず、思い上がることのたとえ。 または、自分の物ならどんなにつまらないものでも貴重に思えることのたとえ。 「弊帚」は使い古してぼろぼろになったほうきのこと。 自分の物ならぼろぼろになったほうきでも千金の価値があると考えるという意味から。 「弊帚」は「敝帚」とも書く。 「千金弊帚（千金敝帚）」ともいう。,敝帚千金（へいそうせんきん） 千金弊帚（せんきんへいそう） 千金敝帚（せんきんへいそう）,『東観漢紀』「光武帝」,１,
瓶墜簪折,へいついしんせつ,男女が離れて二度と会うことができないことのたとえ。 「瓶」は井戸のつるべ、「簪」は玉のかんざしのことで、つるべの縄が切れて、縄が井戸の底に落ち、かんざしが二つに折れてしまうという意味から。,,白居易「井底引銀瓶」,１,
兵者凶器,へいはきょうき,武器というものは、人を殺傷する忌まわしい道具だということ。 「兵」は武器や兵器、「者」は「というものは…」という意味で、強調して提示する語。 「凶器」は人を殺傷することを目的とした道具のこと。,,『国語』「越語・下」,準１,
悪事千里,あくじせんり,悪い噂や悪い評判はすぐに遠くまで知れ渡るということ。 「悪事」は悪い行い、「千里」は遠くの場所という意味。,,,５,
兵馬倥偬,へいばこうそう,軍人の生活のことをいい、戦争をして日々をせわしなく送ること。 「兵馬」は武器と馬という意味から戦争のこと。 「倥偬」は忙しいという意味。,,,１,戎馬倥偬（じゅうばこうそう）
平伏膝行,へいふくしっこう,神仏や貴人の前での座礼作法のことで、恐縮しながらひれ伏して進み出る様子のこと。 または、頭を地に付けるように低くして、目を伏せて膝頭で這って進むこと。,,,準１,匍匐膝行（ほふくしっこう）
閉明塞聡,へいめいそくそう,目を閉じて耳を塞いで世間との接触をたつこと。 または、現実から目を背けること。 「閉明」は何も見ないために目をつむること。 「塞聡」は何も聞かないように耳を塞ぐこと。 「明を閉じ聡を塞ぐ」とも読む。,,『論衡』「自紀」,準１,平目塞聴（へいもくそくちょう）
碧血丹心,へきけつたんしん,厚い忠誠心や誠意のこと。 「碧血」は青い宝玉。 「丹心」は誠意や真心。 敬王に仕えていた萇弘は、讒言によって追放されて、郷里で腹を裂いて自決した。 その後、その血が化して青く美しい宝玉になっていたという故事から。,,『荘子』「外物」,準１,丹石之心（たんせきのこころ）
碧落一洗,へきらくいっせん,雨が降ったあとに、空がきれいに晴れ渡ること。 「碧落」は綺麗に晴れ渡った空。 「一洗」はすっきりと洗い流すこと。,,,準１,
汨羅之鬼,べきらのき,水中で溺れて死んだ人のこと。 「汨羅」は中国の川の名前。 「鬼」は死者の霊魂。 楚の懐王に忠節を尽くして仕えていた屈原という人が、讒言で懐王の怒りを買い、追放されて入水自殺したという故事から。,,,１,
壁立千仞,へきりつせんじん（へきりゅうせんじん）,壁のような険しい崖が高く立っていること。 または、仏教語で真理を得るための道のりが非常に険しいことのたとえ。 「仞」は古代中国の高さや深さをあらわす単位のこと。,壁立千仞（へきりゅうせんじん）,『水経』「河水」,１,
霹靂一声,へきれきいっせい,急に雷鳴が轟き渡ること。 または、前触れもなくいきなり大きな声で怒鳴ること。 「霹靂」は前触れもなく急に雷鳴が轟くこと。 「一声」は音が一度鳴ること。,,,１,
霹靂閃電,へきれきせんでん,激しく勢いがあって非常にすばやいことのたとえ。 「霹靂」は前触れもなく急に雷鳴が轟くこと。 「閃電」は雷がきらめくこと。,,『隋書』「長孫晟伝」,１,
悪戦苦闘,あくせんくとう,困難な状況の中で強敵と決死の覚悟で戦うこと。 または、困難に打ち勝つために必死に努力すること。 「悪戦」は自分に不利な状況で戦うという意味。,,,４,千辛万苦（せんしんばんく）
別有天地,べつゆうてんち,人が暮らしている世界とは違う、他の世界があるということ。 人が足を踏み入れたことのない大自然の美しい景色や、理想郷などのことをいう言葉。 「別に天地の人間に非ざる有り」を略した言葉で、「別に天地有り」とも読む。,,李白「山中問答」,５,別有洞天（べつゆうどうてん）
卞和泣璧,べんかきゅうへき,素晴らしい才能や、すぐれた業績が正しく評価されずに嘆くこと。 「卞和」は中国の春秋時代の国の楚にいたとされる人の名前。 「璧」は宝石のこと。 卞和が宝石の原石をレイ王に献上したが、石と思われて罰として左足を切られ、その後、武王に献上したが同じく罰として右足を切られた。 卞和は宝石の原石を石と言われて、うそつきと扱われたことを嘆き、三日三晩泣いたという故事から。 「卞和璧に泣く」とも読む。,,『蒙求』「卞和泣璧」,,
片簡零墨,へんかんれいぼく,書物の欠片やちょっとした書き物のこと。 「片簡」は切れてばらばらになった書物。 「零墨」は一滴の墨ということから、千切れた書物の一欠けらのこと。,,,３,断簡零墨（だんかんれいぼく） 断編残簡（だんぺんざんかん） 断篇零楮（だんぺんれいちょ） 断篇零墨（だんぺんれいぼく）
弁才無礙,べんざいむげ（べんさいむげ）,喋ることが非常にうまく、流れるように話すことが出来ること。 「弁才」は弁舌の才能があること。 「無礙」は何ものにも妨げられることがないこと。 元は仏教語で、菩薩が仏の教えを他人に説く、すぐれた能力のことをいった言葉。 「弁才無碍」とも書く。,弁才無礙（べんさいむげ） 弁才無碍（べんざいむげ） 弁才無碍（べんさいむげ）,,１,弁才無竭（べんざいむけつ） 弁才無尽（べんざいむじん）
駢四儷六,べんしれいろく,四字句と六字句の対句を用いる、古代中国の修辞的な文体のこと。 「駢」は馬を二頭並べて車につなぐという意味から、対句という意味。 「儷」は一対になって並ぶという意味。 中国の六朝時代から唐の時代にかけて盛んに使われ、中国の美文の基本となった文体。,,,１,四六駢儷（しろくべんれい）
暴虐非道,ぼうぎゃくひどう,人の道を外れた残酷で乱暴な行いのこと。 または、そのような人のこと。,,,３,悪逆非道（あくぎゃくひどう） 悪逆無道（あくぎゃくむどう） 極悪非道（ごくあくひどう） 残酷非道（ざんこくひどう） 大逆無道（たいぎゃくむどう）
報仇雪恨,ほうきゅうせっこん,仇を報じ恨みを雪ぐとも読み、仇討ちをして恨みを晴らすこと。 「報仇雪恨」の旗を掲げて、曹操が父親の仇の陶謙を討つために、徐州を攻めて、大虐殺したという故事から。,,,,報仇雪恥（ほうきゅうせっち）
飽経風霜,ほうけいふうそう,世の中の様々な苦労を経験して、したたかで狡猾なこと。 「飽経」は飽きるほどに何度も経験すること。 「風霜」は困難なことや苦難なことのたとえ。,,,準２,海千山千（うみせんやません） 千軍万馬（せんぐんばんば） 千兵万馬（せんぺいばんば） 百戦錬磨（ひゃくせんれんま）
放言高論,ほうげんこうろん,思ったことをそのまま言って、議論すること。 「放言」は思いついたことを好き放題に言うこと。 「高論」はすばらしい議論という意味。,,蘇軾「荀卿論」,５,
暴言多罪,ぼうげんたざい,言いすぎや失礼なことを謝罪するという意味で、手紙の末尾に記す言葉。 乱暴で礼を失する言葉を使って多くの罪を犯しましたという意味から。,,,５,妄言多謝（もうげんたしゃ） 妄評多罪（もうひょうたざい）
悪人正機,あくにんしょうき,罪深い悪人を救済することこそが、阿弥陀仏の本願であるという教えのこと。 「正機」は人が悟りを得るための条件や資質のことで、悪人こそが往生するにふさわしい機根だとする浄土真宗の親鸞の基本的思想のこと。,,『歎異抄』「三」,５,
奉公守法,ほうこうしゅほう,公務員の務めのことで、公務をきっちりと遂行して、法をしっかりと守ること。 「公を奉じ法を守る」とも読む。,,,３,滅私奉公（めっしほうこう）
貌合心離,ぼうごうしんり,表面は親密さを装って交際してはいるが誠意がないことのたとえ。 「貌」は表に見せている形ということで、表向きは合わせてはいるが、心は離れているという意味から。,,『素書』「遵義」,２,外巧内嫉（がいこうないしつ） 内疎外親（ないそがいしん）
放虎帰山,ほうこきざん,後で大きな災いになるものを残すこと。 虎を山に放てば、いつか自分が襲われることになるという意味から。 蜀の劉璋が、張魯を討伐するために劉備が入国することを許可したときに、臣下の劉巴が虎を山に放つように危険なことだと反対した故事から。 劉巴の意見は聞き入れられず、のちに劉璋は劉備に倒された。,,『三国志』「蜀志・劉巴伝・注」,,養虎遺患（ようこいかん）
放恣佚楽,ほうしいつらく,やりたいことをやりたいだけやって遊んで暮らすこと。 「放恣」は好き勝手にだらしのない生活を送ること。 「佚楽」は女遊びや酒に溺れること。,,,,放肆遊惰（ほうしゆうだ）
旁時掣肘,ぼうじせいちゅう,他人の横から口を出して邪魔をすること。 「旁」はそば、近い場所という意味。 「掣肘」は肘を引っ張るという意味から、仕事の邪魔をすること。 「旁らより時に掣肘す」とも読む。,,『呂氏春秋』「具備」,１,
封豕長蛇,ほうしちょうだ,非常に欲深く、残酷なもののたとえ。 「封豕」は大きないのしし。 いのししは何でも食べるということから、欲深いことのたとえ。 へびは大きなものでもそのまま飲み込むということから、残酷なことのたとえ。 中国の春秋時代、楚の国の申包胥が言ったとされる言葉から。 「封豕長蛇を為す」を略した言葉。,,『春秋左氏伝』「定公四年」,１,
捧腹大笑,ほうふくたいしょう,腹を抱えて笑いこけること。 「捧腹」は腹を抱えること。 「抱腹大笑」とも書く。,抱腹大笑（ほうふくたいしょう）,『史記』「日者伝」,準１,呵呵大笑（かかたいしょう） 破顔大笑（はがんたいしょう） 捧腹絶倒（ほうふくぜっとう）
北轅適楚,ほくえんてきそ,意志と行動が別の方向を向いていて、互いに反していることのたとえ。 「轅」は前進する方向に向けられるかじ棒のこと。 「適」はその向きに行くこと。 かじ棒は北を向いているのに、なぜか南にある楚の国に行くことから。 「適楚北轅」ともいう。,適楚北轅（てきそほくえん）,『申鑒』「雑言・下」,１,南轅北轍（なんえんほくてつ）
握髪吐哺,あくはつとほ,熱心にすぐれた人材を探し求めることのたとえ。 「握髪」は髪を握ること。 「吐哺」は食べ物を吐き出すこと。 春秋時代、周公旦は食事中でも食べ物を吐き出し、入浴中でも濡れた髪を握って、面接を求める人にはすぐに面会して、すぐれた人材の登用に努めたという故事から。 「吐哺握髪」「吐哺捉髪」「吐握之労」ともいう。,吐哺握髪（とほあくはつ） 吐哺捉髪（とほそくはつ） 吐握之労（とあくのろう）,『漢詩外伝』「三」,２,一饋十起（いっきじっき）
暮色蒼然,ぼしょくそうぜん,夕方になって、少しずつ暗くなっていく様子。 「暮色」は日が沈んで薄暗い夕方の景色。 「蒼然」は日が沈んで薄暗い様子。 「蒼然暮色」ともいう。,蒼然暮色（そうぜんぼしょく）,柳宋元「始得西山宴游記」,準１,
満目蕭条,まんもくしょうじょう,見渡すかぎり全てがひっそりとしていて寂しい様子。 「満目」は視認できる距離全て。 「蕭条」は静かで寂しい様子。,,李白「秋浦歌」,１,満目荒涼（まんもくこうりょう） 満目蕭然（まんもくしょうぜん）
万目睚眥,まんもくがいさい（ばんもくがいさい）,たくさんの人ににらまれること。 「万目」は多くの人の目という意味から、大勢の人のこと。 「睚眥」はにらむこと。,万目睚眥（ばんもくがいさい）,『紅楼夢』「五回」,１,百口嘲謗（ひゃっこうちょうぼう）
満目荒涼,まんもくこうりょう,見渡すかぎり全てが荒廃している様子。 「満目」は視認できる距離全て。 「荒涼」は荒れて寂れていること。,,,準２,満目蕭条（まんもくしょうじょう） 満目蕭然（まんもくしょうぜん）
曼理皓歯,まんりこうし,容姿の美しい人のこと。 「曼理」はきめの細かい肌。 「皓歯」は白くて綺麗な歯。,,,１,蛾眉皓歯（がびこうし） 朱脣皓歯（しゅしんこうし） 明眸皓歯（めいぼうこうし）
无何之郷,むかのきょう,果てしなく広くて見渡す限り何もなく、人の手が入っていない場所のこと。 「无」は何もない、「郷」は場所という意味から何もない場所という意味。,,『本朝文粋』「八」,,無何有郷（むかゆうきょう）
無慙無愧,むざんむき,恥ずかしいと思うことなく、動揺することもなく悪行を行うこと。 「慙」と「愧」はどちらも恥じるという意味で、ともに「無」をつけて恥じることが無いという意味から。,,,１,
