word,reading,example,,,level,meaning
道路,どうろ,このどうろは3年前にできました。,,,8,"road, highway"
路,じ,蟲達だけの通いじ,,,8,"route, road"
和やか,なごやか,彼らはなごやかに食事をした。,,,8,"mild, calm, gentle"
和らぐ,やわらぐ,この曲を聞くと気持ちがやわらぎます。,,,8,"to soften, to calm down, to be eased"
追放,ついほう,彼は国外についほうされました。,,,8,"exile, banishment, eviction, deportation, transportation"
お正月,おしょうがつ,おしょうがつにはたいてい、家族が集まる。,,,8,New Year
花園,はなぞの,はなぞのみたいに待っている。 祭みたいに待っている。,,,8,flower garden
曲者,くせもの,くせものよりも速く 王の元へ参じるために,,,8,"ruffian, villain"
苦手,にがて,私は料理がにがてです。,,,8,"poor (at), weak (in)"
お神酒,おみき,この神殿で敗者の血をおみきに混ぜて飲みほし  生命の喜びを神に感謝した場所,,,8,"sacred wine or sake, sake offered to the gods"
息子,むすこ,うちのむすこは大学1年生です。,,,8,son
美味しい,おいしい,日本の食べ物はとてもおいしいです。,,,8,"delicious, tasty,"
流行る,はやる,去年はスニーカーがはやりました。,,,8,"to be popular, to come into fashion"
生業,なりわい,それが俺のなりわいの範疇のものなら 詳しく話を聞きたい,,,8,"occupation, calling livelihood"
歯科,しか,彼はしか医師です。,,,8,dentistry
紙一重,かみひとえ,まさにかみひとえの勝利だった 聖地巌流島にまた新しい歴史が刻まれたといっても過言ではないな,,,8,"exaggeration, saying too much  misstatement"
暗記,あんき,試験の前に英文をあんきしたんだ。,,,8,memorization
水族館,すいぞくかん,ここのすいぞくかんにはイルカがいます。,,,8,aquarium
化石,かせき,姿も美しいが　 何かの蟲のかせきでできた硯だと言うんでな,,,8,"fossil, petrifaction"
愛しい,いとしい,彼女はいとしい夫の帰りを待ち続けた,,,7,"lovely, dear, beloved, darling"
愛犬,あいけん,紹介するよ ダニーってんだ 僕のあいけんでね,,,7,"pet dog, beloved dog"
案外,あんがい,なぜそんなに詳しく知ってらしゃるんですか？  この女あんがい鋭いぜ,,,7,"unexpectedly, surprisingly"
以上,いじょう,飛行機が1時間いじょう遅れた。,,,7,"not less than, ... and more, ... and upwards"
以後,いご,すみません、いご気を付けます。,,,7,"after this, from now on"
位,くらい,くらいが上がれば責任も増えるものだ。,,,7,"social standing, rank, class"
位置,いち,私の町は東京の北にいちします。,,,7,"place, situation, position, location"
囲む,かこむ,久しぶりに家族全員で食卓をかこみました。,,,7,"to surround, to encircle"
周囲,しゅうい,大声で話すとしゅういの人に迷惑ですよ。,,,7,surroundings
胃,い,昨日からいが痛い。,,,7,stomach
胃腸,いちょう,彼はいちょうが強くありません。,,,7,stomach and intestines
衣,ころも,寒風では旅人はころもを纏うだけだが  熱さは音を上げさせる,,,7,"clothes, garment"
衣服,いふく,彼の会社はいふくを扱っているよ。,,,7,clothes
印,しるし,間違いにしるしを付けておきました。,,,7,"mark, sign"
印刷,いんさつ,年賀状をいんさつしたの。,,,7,printing
栄える,さかえる,ここはかつてゴールドラッシュでさかえた町だよ。,,,7,"to prosper, to flourish"
栄え,はえ,あの小僧がはえある  宇宙艦隊司令長官とは世も末だと,,,7,"glory, prosperity"
栄養,えいよう,豆腐はえいようのある食べ物です。,,,7,"nutrition, nourishment"
英語,えいご,あなたはえいごが話せますか。,,,7,English (language)
塩,しお,しおを少々入れてください。,,,7,salt
億,おく,世界人口は65おく人だ。,,,7,"10^8, 100,000,000, hundred million"
加える,くわえる,塩、コショウをくわえてください。,,,7,"to add, to add up"
参加,さんか,彼は地域の活動にさんかした。,,,7,participation
果たす,はたす,彼はしっかりと責任をはたしました。,,,7,"to accomplish, to achieve"
結果,けっか,試合のけっかを早く知りたい。,,,7,"result, consequence"
果物,くだもの,デザートにくだものを食べましょう。,,,7,fruit
課,か,今からかのミーティングがある。,,,7,"lesson, division, section"
課長,かちょう,彼はかちょうに昇進しました。,,,7,"section manager, section chief"
通貨,つうか,日本のつうかは円です,,,7,currency
芽,め,チューリップのめが出ました。,,,7,sprout
改める,あらためる,彼は悪い習慣をあらためようとしているわね。,,,7,"to change, to alter"
改正,かいせい,近く交通法がかいせいされます。,,,7,"revision, amendment, alteration"
機械,きかい,新しいきかいが壊れた。,,,7,"machine, mechanism"
器械,きかい,体育館できかいを使って運動したの。,,,7,"machine, mechanism instrument"
害,がい,お酒の飲み過ぎは健康にがいがあります。,,,7,"injury, harm, evil influence, damage"
害虫,がいちゅう,畑にがいちゅうが発生した,,,7,"harmful insect, noxious insect, vermin, pest"
街,まち,浅草は賑やかなまちです。,,,7,town
街道,かいどう,私はそのままかいどうを琵琶を弾いて歩き暮らすようになった,,,7,"highway (esp. one existing from the Edo period), main road"
各々,おのおの,おのおの忘れ物が無いか確かめてください,,,7,each
各地,かくち,かくちで大雨が降っています。,,,7,"every place, various places"
覚える,おぼえる,妹は平仮名を全部おぼえました。,,,7,to memorize
覚ます,さます,子供が目をさました。,,,7,to awaken
感覚,かんかく,冷えて指のかんかくがない。,,,7,"sense, sensation, feeling, intuition"
完成,かんせい,全体の80パーセントがかんせいしました。,,,7,complete
完全,かんぜん,この古い寺院は今でもかんぜんな形を保っているんだ。,,,7,"perfection, completeness"
器官,きかん,女子のお洒落は別筋肉だ  女子にはそんなきかんがあるのか,,,7,"organ (of body, plant, etc.)"
長官,ちょうかん,ビュコック司令ちょうかんのご懸念はなかなかに独創的ではあるが,,,7,"secretary (government), director, chief"
管,くだ,くだの中が道になってたんだ,,,7,"pipe, tube"
管理,かんり,彼女が私のスケジュールをかんりしている。,,,7,"control, management (e.g. of a business)"
観光,かんこう,明日は市内をかんこうする予定です。,,,7,sightseeing
観る,みる,「観察しろと言うのはただ見るんじゃあなくてよくみることだ」,,,7,"to see, to look"
関係,かんけい,彼はその事件にかんけいがない。,,,7,"relation, relationship, connection"
関わる,かかわる,医師は人の命にかかわる大切な職業だよ。,,,7,"to be affected, to be influenced  to be concerned with"
願う,ねがう,彼が元気になるようねがっています。,,,7,"to desire, to wish"
願書,がんしょ,今日大学にがんしょを送りました。,,,7,"written application or petition, application form"
喜ぶ,よろこぶ,彼女はとてもよろこびました。,,,7,"to be delighted, to be glad"
器,うつわ,このうつわは上等ね。,,,7,"bowl, vessel, container"
受話器,じゅわき,じゅわきを取ってもらえますか。,,,7,(telephone) receiver
希望,きぼう,彼は本社で働くことをきぼうしています。,,,7,"hope, wish, aspiration"
希少,きしょう,「貧乳はステータスだ、きしょう価値だ」って言ってたんだよね,,,7,"scarce, rare"
旗,はた,はたが風に揺れている。,,,7,flag
反旗,はんき,皇子でありながらはんきを翻した不肖の息子,,,7,"standard of revolt, banner of revolution"
機,はた,“職業　はた織り職人”？  え？ 冒険者じゃなかったのかよ,,,7,loom
冬季,とうき,次のとうきオリンピックは2年後です。,,,7,(season of) winter
季節,きせつ,私の一番好きなきせつは春です。,,,7,season
世紀,せいき,新しいせいきの始まりです。,,,7,"century, era"
風紀,ふうき,彼はふうきを乱している。,,,7,public morals
会議,かいぎ,火曜日にかいぎがあります。,,,7,"meeting, conference"
議長,ぎちょう,ぎちょうが開会の挨拶をしました。,,,7,"chairman, speaker"
救う,すくう,彼女は通りがかりの人にすくわれたよ。,,,7,"to rescue from, to help out of, to save"
救急,きゅうきゅう,誰かきゅうきゅう車を呼んでください。,,,7,"first-aid, emergency (aid)"
求める,もとめる,子供は親の愛をもとめます。,,,7,"to want, to wish for"
要求,ようきゅう,彼は私のようきゅうにこたえた。,,,7,"demand, firm request, requisition"
泣く,なく,妹はすぐになく。,,,7,"to cry, to weep, to sob, to howl"
号泣,ごうきゅう,わたしはごうきゅうするお姉ちゃんをしっかりと抱き締めました。もしかしたら、この時わたしも一緒になってないていたのかもしれません。,,,7,"crying aloud, lamentation, wailing"
給え,たまえ,ああ　分かった 君の思うとおりにしたまえ,,,7,please ...
選挙,せんきょ,彼はせんきょに出るつもりだ。,,,7,election
挙げる,あげる,例を幾つかあげてみましょう。,,,7,to raise
漁る,あさる,どうして私が他人の下着をあさらねばならんのだ,,,7,"to fish, look for"
漁,りょう,昇る朝日 りょうから戻って来る船 七色に変わる水面  私にとってはこの景色が何よりの宝。,,,7,fishing
漁業,ぎょぎょう,彼らはぎょぎょうを営んでいるんだ。,,,7,fishing (industry)
競う,きそう,彼らは料理の腕をきそっています,,,7,"to compete, to contend, to vie, to contest"
競り落とす,せりおとす,昨日　１万でせりおとした品物が明日には１億で売れることもある。,,,7,to knock down the price of
競争,きょうそう,2社は互いにきょうそうしている。,,,7,"competition, contest"
共に,ともに,私は心身ともに疲れていました。,,,7,"together, jointly"
公共,こうきょう,こうきょうの乗り物は誰でも利用できます。,,,7,"public, community, public service, society, communal"
協力,きょうりょく,このプロジェクトにはみんなのきょうりょくが必要です。,,,7,"cooperation, collaboration"
協議,きょうぎ,委員会はその問題についてきょうぎしましたわ。,,,7,"conference, consultation, discussion, negotiation"
鏡,かがみ,彼女はかがみを見て髪を直した。,,,7,mirror
望遠鏡,ぼうえんきょう,ぼうえんきょうで星を観察しました,,,7,telescope
極める,きわめる,私はゆっくりとディオ以上に石仮面の謎をきわめられる,,,7,"to carry to extremes, to go to the end of something to investigate"
南極,なんきょく,なんきょくでペンギンを見ました。,,,7,South Pole
訓,くん,漢字の読み方には、音とくんの2通りがあるの。,,,7,native Japanese reading (rendering) of a Chinese character
特訓,とっくん,分かりました。ではしばらくここでとっくんしてみませんか？,,,7,"special training, intensive training, crash course"
軍隊,ぐんたい,彼はぐんたいに入ったよ。,,,7,"armed forces, military, troops"
軍事,ぐんじ,ここは昔、ぐんじ基地でした。,,,7,military affairs
郡,ぐん,このぐんは来年、市になりますよ。,,,7,"district, county"
型,かた,新しいかたのカメラを買いました。,,,7,"model, type"
典型,てんけい,彼は職人のてんけいです。,,,7,"type, pattern, model"
直径,ちょっけい,この円はちょっけい6センチです。,,,7,diameter
半径,はんけい,この円のはんけいは5センチです。,,,7,radius
景気,けいき,けいきが回復してきたね。,,,7,"business conditions, the market, economic activity"
景色,けしき,ここはけしきがきれいですね。,,,7,"scenery, scene, landscape"
芸事,げいごと,いや それが私は本当は嫌々軍人になったのですよ  平民の出ですから好きなげいごとで身を立てる  というわけにはゆきませんでしたからなあ,,,7,arts
文芸,ぶんげい,姉はよくぶんげい雑誌を読んでいます,,,7,"literature, art and literature, belles-lettres"
欠ける,かける,お気に入りのカップがかけてしまいました。,,,7,to be chipped to be lacking
欠点,けってん,けってんのない人間はいません。,,,7,"fault, defect"
結ぶ,むすぶ,彼女は髪にリボンをむすんだね。,,,7,"to tie, to bind"
健やか,すこやか,方法はどうあれ  彼が理想とした人の心のすこやかなる形は実現した,,,7,"vigorous, healthy, sound"
健康,けんこう,母はけんこうのために水泳をしている。,,,7,"health, sound, wholesome"
建てる,たてる,私たちは来年、家をたてます。,,,7,"to build, to construct"
建国,けんこく,そうです 今がけんこくの時,,,7,founding of a nation
実験,じっけん,科学の授業でじっけんをした。,,,7,experiment
試験,しけん,娘が入学しけんに合格しました。,,,7,"examination, exam"
固める,かためる,私はもう決心をかためたの。,,,7,"to harden, to freeze"
固体,こたい,氷はこたいです。,,,7,"solid (body), solid matter, solid-state"
気候,きこう,日本のきこうは温暖です。,,,7,climate
成功,せいこう,ついに実験がせいこうした。,,,7,"success, hit"
功労,こうろう,けれど准将はアスターテ会戦のこうろう者じゃありませんか  出席しないわけにはいかないと思いますが,,,7,"meritorious deed, services"
好む,このむ,彼女は背の高い男性をこのみますね。,,,7,"to like, to prefer"
好き,すき,私はワインがすきです。,,,7,"liking, fondness, love"
航空,こうくう,会議でこうくうの安全について話し合ったの。,,,7,"aviation, flying"
航海,こうかい,船が長いこうかいに乗り出したの。,,,7,"voyage, navigation, sailing, passage, cruise"
広告,こうこく,そのこうこくを新聞で見ました。,,,7,advertisement
告げる,つげる,彼に真実をつげました,,,7,"to tell, to inform"
差す,さす,雨が降ってきたので傘をさしました。,,,7,
差別,さべつ,この会社では性によるさべつはありません。,,,7,"discrimination, distinction, differentiation"
最も,もっとも,国民の安全がもっとも大切です。,,,7,"most, extremely"
最近,さいきん,それはさいきん話題の本ですね。,,,7,"most recent, these days"
最期,さいご,下手に姿を現せば その時がゼロのさいごとなろう,,,7,"one's last moment, one's death, one's end"
野菜,やさい,私は毎日たくさんやさいを食べます。,,,7,vegetable
取材,しゅざい,テレビもしゅざいに来たほど有名なレストランです。,,,7,"news coverage, collecting data"
材料,ざいりょう,サラダのざいりょうをそろえました。,,,7,"ingredients, material"
昨年,さくねん,さくねんは地震が多い年でした。,,,7,last year
刷る,する,このチラシを500枚ずつすって下さい,,,7,to print
察知,さっち,ヤンはこの策略をさっちしていたものの防止に至らず  その鎮圧に奔走させられる,,,7,"sense, infer"
名札,なふだ,チーム全員になふだが配られました。,,,7,"name plate, name tag, label"
改札,かいさつ,かいさつで3時に会おう。,,,7,"examination of tickets ticket gate, ticket barrier"
殺す,ころす,私は生き物をころすのが嫌いだ。,,,7,to kill
暗殺,あんさつ,もしフェザーンがテロを使嗾するとすれば  あんさつではなく要人の誘拐ではないかと,,,7,assassination
相殺,そうさい,分解エネルギーのそうさい ムチャするなぁ,,,7,"offset, offsetting each other"
参る,まいる,さあ、まいりましょうか。,,,7,"to go, to come"
散る,ちる,風で桜の花がちってるね。,,,7,"to fall (e.g. blossoms, leaves) to scatter"
散歩,さんぽ,私たちは毎日さんぽをします。,,,7,"walk, stroll"
お産,おさん,やるしかないわ 何を おさん,,,7,"(giving) birth, childbirth, delivery, confinement"
産業,さんぎょう,日本の自動車さんぎょうは世界的に有名だ。,,,7,industry
残る,のこる,料理がたくさんのこりました。,,,7,"to remain, to be left"
残念,ざんねん,その試合はざんねんな結果になった。,,,7,"deplorable, bad luck, regret, disappointment"
司る,つかさどる,ユノはギリシャ神話ではヘラという女神で  結婚や出産をつかさどっているんです,,,7,"to rule, to govern, to administer"
司会,しかい,彼はしかいが上手ですね。,,,7,"leading a meeting, presiding over a meeting"
歴史,れきし,私はれきしに興味があります。,,,7,history
女史,じょし,偶発事故じゃないのか  この集会を主催していたのは代議員ジェシカ ･ エドワーズじょし,,,7,"Ms (nuance of status), Miss"
兵士,へいし,その爆撃でへいしが3人負傷しました。,,,7,soldier
同士,どうし,そこの角で車どうしが衝突したのよ。,,,7,"fellow, mutual, companion, comrade"
氏,し,会長は田中しに決定。,,,7,"Mr, Mrs"
氏,うじ,うじも育ちもよい人,,,7,"family name, lineage, birth clan"
試みる,こころみる,彼は実験をこころみたのよ。,,,7,"to try, to attempt, to have a go (at something)"
試す,ためす,彼はそのソフトウェアをためしたの。,,,7,"to attempt, to test, to try out"
育児,いくじ,彼女はいくじで忙しいよ。,,,7,"childcare, child-rearing, nursing, upbringing"
児童,じどう,ここはじどうの通学路です。,,,7,"children, juvenile"
治める,おさめる,彼は国を平和におさめました,,,7,"to govern, to manage"
治す,なおす,早く風邪をなおしてください。,,,7,"to cure, to heal"
自治,じち,じち権を得るために結束しましょう,,,7,"self-government, autonomy"
湯治,とうじ,とうじに参りましょう  水と温泉の都 “アルカンレティア”に！,,,7,"hot-spring cure, taking the baths"
辞める,やめる,彼は会社をやめます。,,,7,"to resign, to retire, to quit, to leave (one's job, etc.)"
辞書,じしょ,この単語の意味をじしょで調べましょう。,,,7,"dictionary, lexicon"
お世辞,おせじ,彼はおせじを言うのが上手い。,,,7,"flattery, compliment"
失せる,うせる,会話と共に情熱もうせてさ…  結局放置かい,,,7,"to disappear, to vanish"
失う,うしなう,彼は地震で親をうしないました。,,,7,"to lose, to part with"
失業,しつぎょう,友達のお父さんが突然しつぎょうしたの。,,,7,"unemployment  losing one's job, becoming unemployed"
失敗,しっぱい,彼はしっぱいの責任を取って、会社を辞めた。,,,7,"failure, mistake, blunder"
借りる,かりる,彼にビデオをかりました。,,,7,"to borrow, to have a loan"
借家,しゃくや,火災保険が下りるから そのお金で家を建て直している間  しゃくやで生活することになるでしょうね,,,7,"house for rent, rented house, renting a house"
種,たね,プランターにトマトのたねをまきました。,,,7,"seed (e.g. of a plant), pip, kind, variety"
種類,しゅるい,バラには色々なしゅるいがあります。,,,7,"variety, kind, type"
周り,まわり,先生のまわりに集まってください。,,,7,"circumference, girth surroundings"
祝う,いわう,家族で彼の合格をいわったよ。,,,7,"to congratulate, to celebrate, to observe (a festival)"
祝言,しゅうげん,旦那さんは十何年も待って　またしゅうげん挙げたんだって,,,7,"festivities, celebration wedding, marriage ceremony"
祝日,しゅくじつ,五月五日はしゅくじつです,,,7,"national holiday, public holiday"
順調,じゅんちょう,手術後の経過はじゅんちょうです。,,,7,"favourable, favorable, doing well, OK, all right"
順番,じゅんばん,これをじゅんばん通りに並べ替えて下さい。,,,7,"turn (in line), order of things, sequential order"
初,はつ,今年のはつ夢は何でしたか,,,7,"first, new"
初めて,はじめて,東京に来るのははじめてです。,,,7,for the first time
初夏,しょか,しょかの高原は気持ちがいいですね。,,,7,early summer
唱える,となえる,今後 貴様は宝珠を使うたび神への祈りをとなえずにはいられない,,,7,"to recite, to chant"
合唱,がっしょう,田んぼの中でかえるががっしょうしている。,,,7,"chorus, singing in a chorus"
松,まつ,あのまつの木は立派ですね,,,7,pine tree (Pinus spp.)
焼く,やく,今、魚をやいています。,,,7,to burn
全焼,ぜんしょう,15年間 暮らした家がぜんしょうしてしまったというのは すさまじい衝撃をご主人の精神…  換言するところの心に与えてしまったのにゃ,,,7,"burned down, entirely destroyed"
照らす,てらす,月が庭をてらしている。,,,7,"* to shine on, to illuminate * to compare (with), to refer to"
照明,しょうめい,もっとしょうめいを明るくしてください。,,,7,"illumination, lighting"
省く,はぶく,時間がないので詳細ははぶきます。,,,7,"to omit, to leave out"
反省,はんせい,彼は十分はんせいしています。,,,7,"reflection, reconsideration"
笑い,わらい,彼はわらいの天才だね。,,,7,"laugh, laughter"
笑み,えみ,“ありがとう”と 満面のえみで言ってきた,,,7,smile
象る,かたどる,昔から僕がものの形をかたどるとそれは既存の生物でなくとも生命を持つんです,,,7,"to model on, to make in the shape of"
象,ぞう,ぞうに乗ってみたいです。,,,7,elephant (Elephantidae spp.)
対象,たいしょう,このアンケートは大学生がたいしょうです。,,,7,"target, object (of worship, study, etc.), subject (of taxation, etc.)"
ノーベル賞,ノーベルしょう,日本人がノーベルしょうを取ったよ。,,,7,Nobel Prize
賞金,しょうきん,彼はしょうきんを目当てにコンペに参加した,,,7,"prize, monetary award"
信じる,しんじる,彼はキリストをしんじている。,,,7,"to believe, to believe in"
信号,しんごう,しんごうが青になった。,,,7,"signal, signalling traffic light"
大臣,だいじん,後に彼は総理だいじんになりました。,,,7,cabinet minister
臣民,しんみん,戦時陸戦規定 第26条３項に基づき— 帝国しんみんの解放を要求する,,,7,"subject, national"
成る,なる,彼は医者になりました。,,,7,to become
成立,せいりつ,あの会社との契約がせいりつしました。,,,7,"coming into existence, arrangements, establishment"
清い,きよい,アークプリーストの魔法の水はとてもきよいのよ,,,7,"clear, pure, noble"
清々しい,すがすがしい,なんか知らないけど こんなすがすがしい気分は初めてだ,,,7,"refreshing (e.g. feeling, scene, wind, morning air), brisk, bracing"
清算,せいさん,今日のイベントで女たちとの関係を一気にせいさんする,,,7,"settlement (financial), squaring accounts, clearing debts"
清新,せいしん,せいしんと進取の気風にあふれた 人類の黄金時代の始まりである,,,7,"fresh, new"
静か,しずか,ここはしずかな住宅地だ。,,,7,"quiet, silent"
冷静,れいせい,彼はれいせいで賢い男だね。,,,7,"calmness, composure, coolness, serenity, presence of mind"
席,せき,私は窓側のせきに座った。,,,7,seat
出席,しゅっせき,社長に代えて部長をしゅっせきさせます。,,,7,"attendance, presence"
見積もり,みつもり,「待ってろ。みつもり書作ってやる」 「なっ！？金を取るのか！？」,,,7,"estimate, estimation, valuation, quotation"
面積,めんせき,この土地のめんせきは約100平方メートルです。,,,7,"square measure, size (e.g. of land), area, surface"
積極的,せっきょくてき,しかし 敗戦後は身を翻し 植民地支配のせっきょくてき協力者となる,,,7,"positive, assertive, active, proactive, aggressive"
折る,おる,祖父は足の骨をおりました。,,,7,"to break, to fracture, to break off"
節,ふし,熱が出て体のふしぶしが痛んだ,,,7,"joint, knuckle characteristic"
説く,とく,彼は非暴力をときました。,,,7,"to explain, to advocate, to preach, to persuade"
小説,しょうせつ,私は月に3冊くらいしょうせつを読みます。,,,7,"novel, (short) story"
戦う,たたかう,彼は最後までたたかったよ。,,,7,"to make war, to fight"
戦,いくさ,兄貴への弔いのいくさをしようというのか？,,,7,"war, battle, campaign"
戦争,せんそう,2003年にイラクでせんそうがあった。,,,7,war
浅い,あさい,この川はあさいです。,,,7,"shallow, superficial"
選ぶ,えらぶ,良い家をえらぶのは難しい。,,,7,"to choose, to select"
然り,しかり,しかり。まさしくその通り。すなわち人の一生とは、未知のものを学び、既知のものへと変える作業に他ならない。,,,7,"yes, yea, aye, affirmative"
天然,てんねん,ここはてんねんの温泉です。,,,7,"nature, spontaneity"
全然,ぜんぜん,この伊織ちゃんに ぜんぜんそぐわないじゃない,,,7,"not at all (with neg. verb) wholly, entirely"
自然,しぜん,みんなでしぜんを守りましょう。,,,7,nature
倉庫,そうこ,この荷物をそうこに運びましょう。,,,7,"storehouse, warehouse, godown"
巣,す,アリは土の中にすを作ります。,,,7,"nest, rookery"
病巣,びょうそう,でもそれは絶対に無理だと思う  羽川家が抱えるびょうそうはいち高校生や  いち吸血鬼にどうこうできるレベルを超えている,,,7,"focus, nidus, lesion"
争う,あらそう,その2国は資源をめぐってあらそっています。,,,7,"to compete, to contest to quarrel"
側近,そっきん,こちらはカノン マルティーニ伯爵  シュナイゼル殿下のそっきん  公私ともにね,,,7,"close associate, close aide, brains-truster"
側,がわ,白線の内がわに下がってください。,,,7,side
束,たば,これは一たばで300円です。,,,7,"bundle, bunch, sheaf"
約束,やくそく,やくそくを忘れないでください。,,,7,"promise, agreement, arrangement"
続く,つづく,工事は3月までつづきます。,,,7,"to continue, to last, to go on"
相続,そうぞく,彼莫大な遺産をそうぞくしました,,,7,"succession, inheritance"
何卒,なにとぞ,「なにとぞ、よろしくお願いいたします！」,,,7,"please, kindly, I beg of you, if it pleases you"
卒業,そつぎょう,弟が高等学校をそつぎょうしました。,,,7,"graduation, completion"
孫,まご,昨日、まごが生まれました。,,,7,grandchild
子孫,しそん,彼は織田信長のしそんだよ。,,,7,"descendant, posterity, offspring"
帯,おび,このおびは長過ぎます。,,,7,"obi, sash"
熱帯,ねったい,店にねったいの果物が並んでいますよ。,,,7,tropics
包帯,ほうたい,彼女は手にほうたいを巻いていたんだ。,,,7,"bandage, dressing"
兵隊,へいたい,へいたいが銃をかまえていたよ。,,,7,"soldier, sailor"
達する,たっする,気温は35度にたっした。,,,7,"to reach, to get to, to arrive at"
配達,はいたつ,彼は新聞はいたつをしている。,,,7,"delivery, distribution"
友達,ともだち,ともだちと一緒に宿題をした。,,,7,"friend, companion"
単位,たんい,メートルは長さのたんいです。,,,7,"unit, denomination"
単語,たんご,このたんごの意味を説明してください。,,,7,"word, vocabulary, (usually) single-character word"
置く,おく,彼はかばんをいすの上におきました。,,,7,"to put, to place"
仲,なか,あなたたちはなかがいいですね。,,,7,"relation, relationship"
仲間,なかま,彼はなかまを裏切ったの。,,,7,"company, fellow, colleague"
貯める,ためる,私たちは今、結婚資金をためています。,,,7,to save (i.e. in a bank)
貯金,ちょきん,ちょきんは十分にあります。,,,7,"putting money aside, savings"
兆し,きざし,「世界はあと五日で終わる」 「しかし、それはきざしだ」  「世界が生まれ変わるための……」,,,7,"signs, omen, symptoms"
前兆,ぜんちょう,手紙など見つかったのは 何かのぜんちょうか,,,7,"omen, portent, sign, premonition"
一兆,いっちょう,その会社はいっちょう円の売上を達成した,,,7,"1,000,000,000,000, one trillion"
低い,ひくい,彼は背がひくい。,,,7,low
低下,ていか,最近、教育レベルがていかしています。,,,7,"fall, decline, lowering, deterioration, degradation"
停電,ていでん,台風でていでんしたよ。,,,7,"power outage, electricity outage, blackout, failure of electricity supply"
停止,ていし,全てのシステムがていしした。,,,7,"suspension, interruption, stoppage"
底,そこ,コップのそこが濡れていますよ。,,,7,"bottom, sole"
根底,こんてい,私もそう思う 自覚 規範 矜持  つまり文化のこんていたる心さえあれば,,,7,"root, basis, foundation"
的,まと,彼はいつも注目のまとです,,,7,"mark, target"
目的,もくてき,彼が来たもくてきが分かりません。,,,7,"purpose, goal, aim, objective, intention"
辞典,じてん,漢和じてんで漢字の意味を調べたの。,,,7,dictionary
手伝う,てつだう,私が手てつだいましょう。,,,7,"to help, to assist"
伝わる,つたわる,漢字は中国からつたわった。,,,7,"to be handed down, to be introduced"
伝説,でんせつ,彼は数々のでんせつを残しました。,,,7,"tradition, legend, folklore"
徒歩,とほ,家から駅までとほ3分です。,,,7,"walking, going on foot"
生徒,せいと,このクラスのせいとは30人です。,,,7,pupil
努める,つとめる,良い成績が取れるようにつとめます。,,,7,"to endeavor (endeavour), to try, to strive"
努力,どりょく,これから、より一層どりょくします。,,,7,"effort, exertion, endeavour"
灯す,ともす,彼はムードを 出すためにろうそくをともした,,,7,"to light (a candle, lamp, etc.), to turn on (a light)"
灯台,とうだい,そのとうだいは島の末端にあります,,,7,lighthouse
働く,はたらく,姉は銀行ではたらいています。,,,7,"to work, to labor"
労働,ろうどう,彼らはろうどうを強制されたんだ。,,,7,"manual labor, manual labour"
食堂,しょくどう,大学のしょくどうは安い。,,,7,"dining room, dining hall"
得る,える,彼は大金をえましたよ。,,,7,"to get, to earn"
得意,とくい,兄は水泳がとくいです。,,,7,"triumph, prosperity"
特色,とくしょく,その学校の教育はとくしょくがありますね。,,,7,"characteristic, feature"
毒,どく,飲み過ぎは体にどくですよ。,,,7,"poison, toxicant"
熱,ねつ,昨日の夜、ねつが出ました。,,,7,heat
熱い,あつい,このスープはとてもあつい。,,,7,hot (thing)
記念,きねん,卒業のきねんにみんなで旅行したよ。,,,7,"commemoration, celebration"
敗れる,やぶれる,私のチームは1回戦でやぶれたよ。,,,7,"to be defeated, to be beaten"
勝敗,しょうはい,このセットでしょうはいが決まります。,,,7,"victory or defeat, issue (of battle), outcome"
梅,うめ,うめの花が咲きました。,,,7,Japanese apricot (Prunus mume)
塩梅,あんばい,「良いあんばいでしょ？」,,,7,"seasoning, flavour"
博物館,はくぶつかん,昨日、車のはくぶつかんに行った。,,,7,museum
飯,めし,今朝はめしを食べたかい。,,,7,"cooked rice meal, food"
夕飯,ゆうはん,ゆうはんは寿司でした。,,,7,evening meal
費やす,ついやす,私は語学の勉強にかなりの時間をついやしています。,,,7,"to spend, to expend"
消費,しょうひ,日本はしょうひ大国といわれています。,,,7,"consumption, expenditure"
飛ぶ,とぶ,鳥がとんでいます。,,,7,"to fly, to soar"
飛行機,ひこうき,息子はひこうきのおもちゃが好きです。,,,7,"aeroplane, airplane, aircraft"
必ず,かならず,かならずシートベルトを着けて下さい。,,,7,"always, without exception"
必要,ひつよう,このプロジェクトにはみんなの協力がひつようです。,,,7,"necessary, needed"
目標,もくひょう,会社の本年のもくひょうが発表されたよ。,,,7,"mark, objective, target"
標本,ひょうほん,博物館で珍しい蝶のひょうほんを見た,,,7,"example, specimen, sample"
投票,とうひょう,私は朝早くとうひょうを済ませました。,,,7,"voting, poll"
開票,かいひょう,時間厳守　別地でのとうひょうも本部時間に準じる かいひょうは即日とする,,,7,"counting ballots, tally (of votes)"
不毛,ふもう,「故に、そのような議論はふもう。世界の支配構造を打ち砕く方法について考える方が、よほど有意義だ」,,,7,"barren, sterile unproductive"
不足,ふそく,被災地では飲料水がふそくしているの。,,,7,"insufficiency, shortage, deficiency, lack, dearth"
付ける,つける,おまけをつけました。,,,7,"to attach, to join"
受付,うけつけ,うけつけは9時からです。,,,7,"reception (desk), information desk"
付近,ふきん,交差点ふきんは駐車禁止です。,,,7,"neighbourhood, neighborhood"
